Naam;Geboortejaar;Geslacht;Gewicht;Band;Club
"Jansen, Takeshi";2015;M;37.9;wit;"Demo Judoschool"
"Sato, Saki";2017;V;36;wit;"Demo Judoschool"
"Saito, Daan";2018;M;34.6;wit;"Demo Judoschool"
"Bakker, Tessa";2017;V;37.3;wit;"Demo Judoschool"
"Watanabe, Liam";2016;M;38.6;geel;"Demo Judoschool"
"Yoshida, Sakura";2017;V;37;wit;"Demo Judoschool"
"Tanaka, Sem";2020;M;32.1;wit;"Demo Judoschool"
"Kato, Mio";2014;V;41.4;oranje;"Demo Judoschool"
"Kobayashi, Milan";2019;M;32.1;wit;"Demo Judoschool"
"Watanabe, Rin";2020;V;30;wit;"Demo Judoschool"
"Hayashi, Noah";2019;M;33.4;wit;"Demo Judoschool"
"Visser, Saki";2017;V;33.1;geel;"Demo Judoschool"
"Smit, Lucas";2015;M;36.5;geel;"Demo Judoschool"
"Sasaki, Yui";2015;V;40.9;oranje;"Demo Judoschool"
"Suzuki, Sota";2016;M;34.5;geel;"Demo Judoschool"
"De Jong, Aoi";2014;V;37.7;wit;"Demo Judoschool"
"Watanabe, Riku";2014;M;41.7;geel;"Demo Judoschool"
"Bakker, Saki";2014;V;41.6;oranje;"Demo Judoschool"
"Visser, Takeshi";2018;M;36.5;geel;"Demo Judoschool"
"De Vries, Rin";2014;V;38.4;wit;"Demo Judoschool"
"Van den Berg, Sota";2018;M;33.4;wit;"Demo Judoschool"
"Yamada, Saki";2016;V;36;wit;"Demo Judoschool"
"De Jong, Lucas";2019;M;33.6;wit;"Demo Judoschool"
"Hayashi, Sakura";2017;V;33;geel;"Demo Judoschool"
"Sasaki, Haruto";2014;M;40.1;wit;"Demo Judoschool"
"De Jong, Eva";2018;V;35.4;geel;"Demo Judoschool"
"Inoue, Finn";2020;M;30;wit;"Demo Judoschool"
"De Jong, Julia";2015;V;39.1;wit;"Demo Judoschool"
"Yoshida, Takeshi";2018;M;34.9;wit;"Demo Judoschool"
"Sato, Julia";2020;V;31.1;wit;"Demo Judoschool"
"Jansen, Riku";2016;M;36.3;geel;"Demo Judoschool"
"Sasaki, Hana";2015;V;40.2;oranje;"Demo Judoschool"
"Saito, Jesse";2018;M;34.2;geel;"Demo Judoschool"
"Watanabe, Noor";2016;V;40;oranje;"Demo Judoschool"
"Nakamura, Sota";2015;M;40.9;oranje;"Demo Judoschool"
"Takahashi, Tessa";2015;V;36.9;oranje;"Demo Judoschool"
"Kato, Takeshi";2016;M;39.4;oranje;"Demo Judoschool"
"Hayashi, Mio";2017;V;34;geel;"Demo Judoschool"
"Inoue, Haruto";2018;M;32.3;wit;"Demo Judoschool"
"Takahashi, Julia";2018;V;31.8;wit;"Demo Judoschool"
"Visser, Finn";2014;M;42;wit;"Demo Judoschool"
"Kobayashi, Noor";2019;V;33.8;wit;"Demo Judoschool"
"Yamada, Hayato";2017;M;37.9;geel;"Demo Judoschool"
"De Vries, Eva";2019;V;31.8;wit;"Demo Judoschool"
"Van den Berg, Daan";2014;M;40.9;geel;"Demo Judoschool"
"Van den Berg, Rin";2019;V;35.5;wit;"Demo Judoschool"
"Meijer, Kenji";2018;M;33.1;geel;"Demo Judoschool"
"Kobayashi, Sophie";2016;V;39.9;geel;"Demo Judoschool"
"Kobayashi, Riku";2017;M;36.8;geel;"Demo Judoschool"
"Bos, Mio";2016;V;35;wit;"Demo Judoschool"
